Year,Development_Status,"Population, total","Population, female","Population, male","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",GDP (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),GDP growth (annual %),Urban population growth (annual %),"Fertility rate, total (births per woman)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate)
1983,2,16299107.333333334,8224114.666666667,8074992.666666667,42.965666666666664,12.692666666666668,3361643959.1171184,2.351977777777778,20.478666666666665,29.782319529521377,36.15247722665739,3.4699348174767635,4.830097031795163,5.719,61.8592829281177,12.87619290785122,25.264525022202022
1984,0,67402380.125,34459424.625,32942955.5,13.5,8.525,900194293691.2504,5.993120833333333,81.047375,38.18005058242392,38.0844330108232,5.045416329313921,0.7097366652261817,1.6483125,2.5203083480048067,24.378594739791243,73.10109789594699
1984,1,158128348.88235295,78048576.05882353,80079772.8235294,32.49305882352941,11.291235294117646,159910906674.30234,6.061372549019608,41.19035294117647,19.993926546868735,23.890791430180457,4.129601097899035,3.8029228080192676,4.449470588235294,37.207885263279216,19.578907393049366,43.21320585754378
1984,2,16711972.666666666,8431775.666666666,8280197.0,42.34733333333333,12.330333333333334,2892455070.55821,2.351977777777778,20.858,31.155057400973647,36.59616609421106,2.652482392214423,4.97992592111739,5.640000000000001,61.8592829281177,12.87619290785122,25.264525022202022
1985,0,67809527.125,34651478.75,33158048.375,13.65,8.6,952367609901.918,5.993120833333333,81.07425,37.896262886933144,37.751333863154194,3.668906431565068,0.5253356618142667,1.677125,2.5203083480048067,24.378594739791243,73.10109789594699
1985,1,161096634.5882353,79508247.52941176,81588387.05882353,32.12170588235294,10.996882352941176,136235814452.50446,6.061372549019608,41.6334705882353,19.889276612475353,23.915581912480878,3.3738355250402936,3.7616777688451,4.360941176470588,37.207885263279216,19.578907393049366,43.21320585754378
1985,2,17117807.666666668,8636171.0,8481636.666666666,41.29266666666667,11.986666666666666,2739612219.2353597,2.351977777777778,21.242,31.703269492068046,36.997134429740825,4.821857348785233,4.803262204373996,5.501666666666666,61.8592829281177,12.87619290785122,25.264525022202022
1986,0,68248670.875,34857739.0,33390931.875,13.2875,8.6125,1127385435208.8167,5.993120833333333,81.1185,35.889473474826765,35.85172227431938,3.0448011059238826,0.5834081371484999,1.6525625,2.5203083480048067,24.378594739791243,73.10109789594699
1986,1,164136205.52941176,81001505.0,83134700.52941176,31.804941176470585,10.385411764705882,136237263202.65248,6.061372549019608,42.075941176470586,18.50689243027357,22.733928129147902,3.99886478128289,3.5626253393805047,4.2867058823529405,37.207885263279216,19.578907393049366,43.21320585754378
1986,2,17527716.333333332,8841959.333333334,8685757.0,40.11666666666667,11.696333333333333,2989342589.38726,2.351977777777778,21.633,32.31781476840931,36.834814607443725,1.6141661254827364,4.911390430415193,5.337,61.8592829281177,12.87619290785122,25.264525022202022
1987,0,68701532.25,35064065.875,33637466.375,13.6375,8.55,1279598876882.4028,5.993120833333333,81.18625,37.46125613499934,37.04727218468381,4.098863406256274,0.8664300269135966,1.680875,2.5203083480048067,24.378594739791243,73.10109789594699
1987,1,167277684.82352942,82540878.0,84736806.8235294,31.422411764705885,9.767235294117647,140278234200.1885,6.061372549019608,42.51682352941176,19.692233028987772,22.40337851522567,5.4337900116073286,3.511829530570492,4.211941176470588,37.207885263279216,19.578907393049366,43.21320585754378
1987,2,17938069.333333332,9049264.333333334,8888805.0,38.98166666666666,11.235999999999999,3113546029.0356297,2.351977777777778,22.030666666666665,32.306581409081446,36.75279564008339,6.225541561096236,4.951086085926197,5.163333333333333,61.8592829281177,12.87619290785122,25.264525022202022
1988,0,69181185.125,35301951.875,33879233.25,14.0875,8.65,1445638147157.5093,5.993120833333333,81.246875,40.17546595541481,38.97793169362696,5.247933663252839,1.011965439031616,1.738125,2.5203083480048067,24.378594739791243,73.10109789594699
1988,1,170474316.47058824,84103875.58823529,86370440.88235295,30.83394117647059,9.472764705882353,149662459799.22305,6.061372549019608,42.95876470588235,21.037569430848823,24.749729582094748,5.504739574086895,3.5794898093319927,4.110117647058823,37.207885263279216,19.578907393049366,43.21320585754378
1988,2,18332011.666666668,9250534.666666666,9081477.0,37.609,11.044333333333332,3672916757.159167,2.351977777777778,22.43433333333333,32.21479332140648,36.44783487349609,2.7256146391329534,4.711565301707274,4.981,61.8592829281177,12.87619290785122,25.264525022202022
1989,0,69733835.75,35581860.625,34151975.125,13.837499999999999,8.6625,1511484781900.621,5.993120833333333,81.28375,39.82791490244358,38.730537305349074,4.01735860995503,1.1549132033110332,1.7215,2.5203083480048067,24.378594739791243,73.10109789594699
1989,1,173658050.0,85658966.52941176,87999083.47058824,30.217823529411763,9.279470588235295,158509268142.8585,6.061372549019608,43.36082352941177,21.824930214556993,25.145147334360757,5.387210994214182,3.457418161006866,4.015823529411765,37.207885263279216,19.578907393049366,43.21320585754378
1989,2,18717629.666666668,9444806.0,9272823.666666666,36.35633333333333,10.893,3884302858.8042636,2.351977777777778,22.843333333333334,32.08210560900204,36.90125363595195,4.124815683803753,4.5722760737948835,4.813666666666667,61.8592829281177,12.87619290785122,25.264525022202022
1990,0,70340744.0,35863729.875,34477014.125,14.1125,8.625,1637780571970.3267,5.993120833333333,81.344375,39.897422137450015,38.459659503574365,3.4971477957663133,1.288064956141761,1.766625,2.5203083480048067,24.378594739791243,73.10109789594699
1990,1,176792818.5882353,87185166.29411764,89607652.29411764,29.600941176470588,9.17064705882353,169248225750.55765,6.061372549019608,43.75341176470588,23.098887369416193,25.70860594642292,3.9351275397412517,3.3182506055900216,3.921235294117647,37.207885263279216,19.578907393049366,43.21320585754378
1990,2,19109761.333333332,9639543.0,9470218.333333334,35.68233333333333,10.827333333333334,4100517129.9358864,2.351977777777778,23.259,31.923626445486946,37.25863591075006,3.65593268482397,4.6232853988507765,4.6866666666666665,61.8592829281177,12.87619290785122,25.264525022202022
1991,0,70999328.75,36171457.25,34827871.5,13.65,8.5125,1743491777304.8887,6.73825,81.431125,39.00664496629699,36.61213576735665,1.6366808028585393,1.1639362789090746,1.7151874999999999,3.839580787004155,29.7706922183084,66.38973567547876
1991,1,179896637.52941176,88696866.29411764,91199771.23529412,28.909294117647057,9.015705882352941,165031758793.1174,5.45264705882353,44.08635294117647,22.685754077104615,24.839802922475965,2.6796537147705877,3.1265938574115624,3.7881764705882355,46.09978993388545,18.39770333334588,35.502506065021876
1991,2,19495273.333333332,9830908.333333334,9664365.0,35.08433333333333,10.851666666666667,4255429492.1149697,2.142,23.681,32.262500910510745,38.71719353925793,4.157487801246876,4.534425837359623,4.576666666666667,71.20127800685464,8.500765781306987,20.2979562118384
1992,0,71674495.875,36485575.875,35188920.0,13.5375,8.4875,1868384698365.4214,7.475,81.538625,38.21972131131636,35.78240481482058,2.102465273156855,1.1959773815038317,1.713,3.709091667664431,29.399502246659512,66.89139329163001
1992,1,182941074.82352942,90182000.70588236,92759074.11764705,28.15494117647059,8.765235294117648,169920343937.9421,5.382823529411764,44.411,25.59097419324904,27.165885926838214,2.2946641417141973,3.052358951346003,3.678588235294118,46.03251156083303,18.139059791271386,35.82842841984584
1992,2,19922041.666666668,10055401.0,9866640.666666666,34.359,10.966666666666667,3884837027.65043,2.166,24.108666666666664,33.37709896011405,41.82291063766863,2.554303585430851,4.986841770537549,4.4590000000000005,71.04467675485778,8.633190500947931,20.322123349132035
1993,0,72305581.0,36779086.0,35526495.0,13.2625,8.6375,1953843128217.9658,7.938124999999999,81.649625,38.51049202559389,36.23428289964852,2.736786116647073,1.0709950578160725,1.6948124999999998,3.604826525232696,28.93169596358949,67.46348515686778
1993,1,185954532.2352941,91652254.47058824,94302277.76470588,27.495117647058823,8.635470588235293,184508474571.88358,5.554941176470588,44.74835294117647,22.936306331520285,25.635918703043735,3.405653091794152,3.1518268568005348,3.5778823529411765,45.289158046520605,18.191298121761097,36.51951295910926
1993,2,20326366.0,10273606.666666666,10052759.333333334,33.346333333333334,11.126666666666667,4086853642.226007,2.173,24.432,27.74290247081864,36.535460901824145,3.7297465594543566,4.36388319562243,4.314,70.93767401324963,8.862808760999377,20.199517225751
